Institute,Course,GOPEN,GSC,GSEBC,LOPEN,LST,LOBC,EWS,GST,GOBC,LSEBC,LSC,GNTA,GNTB,GNTC,DEFR-OBC,PWDR-OBC,LNTA,LNTC,LNTD,PWD-O,DEF-O,LNTB,GNTD,MI,ORP,PWDR-SC,DEFR-SC,DEFR-SEBC,PWDR-SEBC,DEFR-ST,DEFR-NTB,DEFR-NTA
"1002 Government College of Engineering, Amravati (Government Autonomous)",Civil Engineering,91.37%,90.26%,89.21%,91.68%,85.05%,91.48%,85.95%,,,,,,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Computer Science and Engineering,93.21%,89.37%,,94.16%,,,89.09%,73.60%,92.05%,89.31%,,,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Information Technology,91.58%,,90.74%,91.74%,,91.20%,88.51%,70.80%,,,86.51%,,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electrical Engineering,91.44%,89.89%,90.89%,89.28%,80.94%,,86.11%,,91.22%,,,87.83%,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Electronics and Telecommunication Engg,90.41%,84.00%,,89.41%,,87.24%,95.26%,69.59%,89.35%,88.76%,,,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Instrumentation Engineering,83.06%,,82.18%,,,,,,82.32%,,69.72%,,,,,,,,,,,,,,,,,,,,,
"1002 Government College of Engineering, Amravati (Government Autonomous)",Mechanical Engineering,87.89%,86.31%,,88.82%,,87.28%,84.00%,72.77%,,76.21%,,,,,,,,,,,,,,,,,,,,,,
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Food Technology,77.18%,,,71.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1005 Sant Gadge Baba Amravati University,Amravati (University Department)",Petro Chemical Engineering,76.83%,,,84.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1012 Government College of Engineering,Yavatmal (Government)",Civil Engineering,85.80%,80.95%,73.74%,85.95%,,81.37%,80.26%,81.11%,84.42%,,,,80.53%,83.16%,79.26%,,,,,,,,,,,,,,,,,
"1012 Government College of Engineering,Yavatmal (Government)",Computer Engineering,87.89%,86.13%,,89.94%,,88.46%,85.71%,,87.80%,89.28%,,,,,,,,,,,,,,,,,,,,,,
"1012 Government College of Engineering,Yavatmal (Government)",Electrical Engineering,86.89%,86.67%,86.89%,86.95%,77.17%,83.56%,79.30%,,86.22%,,,,,,,,,,,,,,,,,,,,,,,
"1012 Government College of Engineering,Yavatmal (Government)",Electronics and Telecommunication Engg,85.41%,,,85.76%,,,78.59%,,85.00%,81.29%,80.82%,,,,,73.76%,78.29%,,,,,,,,,,,,,,,
"1012 Government College of Engineering,Yavatmal (Government)",Mechanical Engineering,79.74%,76.26%,72.31%,65.03%,,60.92%,64.77%,71.79%,78.10%,,73.85%,71.44%,76.51%,,,,,69.28%,72.92%,69.85%,84.95%,,,,,,,,,,,
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Computer Science and Engineering,90.11%,85.00%,,92.17%,,,84.47%,65.15%,89.42%,89.54%,,,,,,,,,,,,85.55%,,,,,,,,,,
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Information Technology,88.56%,83.54%,85.83%,89.09%,62.89%,89.06%,82.17%,,88.35%,,,,,,,,,,,,,,,,,,,,,,,
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electrical Engg[Electronics and Power],88.33%,,78.61%,88.83%,,,80.67%,75.50%,86.50%,,77.50%,,,,,,,,,,,,,,,,,,,,,
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Electronics and Telecommunication Engg,85.13%,81.73%,,85.58%,,85.00%,73.41%,,84.80%,75.12%,,72.06%,,,,,,,,,,,,,,,,,,,,
"1101 Shri Sant Gajanan Maharaj College of Engineering,Shegaon (Un-Aided)",Mechanical Engineering,79.69%,77.44%,,73.18%,66.46%,69.90%,68.36%,,79.47%,64.97%,,,73.79%,,,,,,,,,,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Civil Engineering,82.68%,77.95%,75.79%,81.05%,,80.47%,60.00%,70.53%,79.79%,,73.95%,77.95%,,70.95%,63.11%,,,,,,,,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Computer Science and Engineering,87.12%,80.63%,80.91%,88.41%,73.06%,87.53%,77.37%,,86.69%,,82.51%,,83.41%,,,62.11%,,80.25%,,,,,76.00%,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Information Technology,85.14%,79.11%,79.09%,86.11%,,85.16%,74.97%,,84.86%,,,,,80.26%,,,76.00%,,,,,,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Artificial Intelligence (AI) and Data Science,84.74%,81.60%,,84.86%,,84.06%,72.06%,,,72.80%,,,,,,,,,,,,,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Industrial IoT,77.09%,,,80.06%,,,,,74.97%,,73.03%,,,,,,,,,,,,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Electronics and Telecommunication Engg,83.05%,75.79%,,84.11%,,81.76%,77.24%,71.82%,80.88%,74.41%,,,,69.06%,,,,,,,,81.24%,,,,,,,,,,
"1105 Prof. Ram Meghe Institute of Technology & Research, Amravati (Un-Aided Autonomous)",Mechanical Engineering,76.47%,71.84%,,68.97%,,75.42%,,,76.31%,,70.32%,66.62%,,,,,,,,,,,,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Civil Engineering,80.74%,,,84.32%,60.05%,,66.63%,,77.58%,69.21%,77.95%,78.11%,,,,,,,,,,,,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Computer Science and Engineering,84.86%,78.68%,69.94%,84.80%,,84.57%,82.23%,,84.29%,,78.86%,,80.21%,84.57%,,,,,,,,,72.88%,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electrical Engineering,85.56%,85.26%,77.58%,85.80%,,,60.00%,67.17%,85.11%,,,,,,,,,,,,,,,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Electronics and Telecommunication Engg,79.65%,76.05%,,80.74%,,,73.35%,,79.42%,67.12%,,,,,,,,,,,,,,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Mechanical Engineering,79.00%,,,70.56%,,70.32%,74.37%,,75.00%,,67.23%,,,,,,,,,,,,,,,,,,,,,
"1107 P. R. Pote (Patil) Education & Welfare Trusts Group of Institution(Integrated Campus), Amravati (Un-Aided)",Artificial Intelligence and Data Science,83.49%,77.81%,77.43%,82.68%,,78.97%,78.23%,,,,,,,,,,,,,,,,,,,,,,,,,
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Civil Engineering,77.58%,76.95%,,88.47%,,77.95%,63.63%,60.00%,76.42%,70.63%,,,73.95%,71.00%,,,,,,,,,,,,,,,,,,
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,83.20%,77.44%,75.83%,82.69%,,81.94%,79.09%,,82.86%,,78.17%,79.00%,,,,,,80.11%,67.75%,,,,,,,,,,,,,
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Information Technology,81.71%,76.46%,77.71%,81.49%,,81.37%,73.54%,,81.54%,,,,,,,,73.94%,,,,,,71.08%,,,,,,,,,
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Electronics and Telecommunication Engg,78.06%,74.29%,,78.95%,,77.76%,67.18%,,77.76%,,,,,70.56%,,,,,,,,70.94%,,,,,,,,,,
"1114 Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati (Un-Aided)",Mechanical Engineering,73.85%,,,72.77%,,72.58%,,,73.74%,,67.74%,,,,,,,,,,,,,,,,,,,,,
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Civil Engineering,71.22%,61.42%,,66.05%,,64.74%,65.05%,,59.05%,,,,,64.95%,,,,,,,,,,,,,,,,,,
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Computer Science and Engineering,76.17%,71.79%,,76.40%,,76.29%,73.24%,,75.89%,,76.34%,,,,,,,,,,,,,,,,,,,,,
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Chemical Engineering,76.21%,63.53%,,63.38%,,,,,71.94%,,,,,,,,,,,,,,,,,,,,,,,
"1116 Shri Shivaji Education Societys College of Engineering and Technology, Akola (Un-Aided)",Mechanical Engineering,68.87%,,,67.88%,,,,,67.54%,,,,,,,,,,,,,,,,,,,,,,,
1117 Janata Shikshan Prasarak Mandal (Un-Aided),Civil Engineering,63.84%,55.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117 Janata Shikshan Prasarak Mandal (Un-Aided),Computer Science and Engineering,72.40%,70.06%,68.00%,80.80%,,73.37%,,,71.54%,,64.91%,71.94%,,,,,,,,,,,,,,,,,,,,
1117 Janata Shikshan Prasarak Mandal (Un-Aided),Electrical Engg[Electronics and Power],73.61%,,,72.06%,,64.22%,,,,,64.06%,,,,,,,,,,,,,,,,,,,,,
1117 Janata Shikshan Prasarak Mandal (Un-Aided),Artificial Intelligence and Data Science,74.06%,,,68.13%,,,,,57.08%,,,,,,,,,,,,,,,,,,,,,,,
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Computer Science and Engineering,78.46%,67.26%,75.60%,78.91%,,77.43%,,,,,,,,,,,,,,,,,,,,,,,,,,
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Information Technology,75.00%,68.81%,,76.56%,,,,,73.37%,67.31%,,,,,,,,,,,,,,,,,,,,,,
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Electronics and Telecommunication Engg,68.59%,,,75.71%,,,,,65.00%,,69.47%,,65.14%,,,,,,,,,,,,,,,,,,,
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Chemical Engineering,71.00%,62.78%,,80.28%,,,61.00%,,52.29%,,,66.67%,67.11%,,,,,,,72.69%,,,,,,,,,,,,
"1119 Paramhansa Ramkrishna Maunibaba Shikshan Santhas , Anuradha Engineering College, Chikhali (Un-Aided)",Mechanical Engineering,67.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Civil Engineering,64.21%,,,68.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Computer Science and Engineering,78.24%,,,79.03%,,,,,,,,,,,,,,,,,,,,83.71%,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Electrical Engineering,76.44%,,,,,,,,,,,,,,,,,,,,,,,75.00%,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Electronics and Telecommunication Engg,86.53%,,,,,,,,,,,,,,,,,,,,,,,73.59%,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Chemical Engineering,55.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Mechanical Engineering,57.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1120 Jawaharlal Darda Institute of Engineering and Technology, Yavatmal (Un-Aided Linguistic Minority - Hindi)",Textile Engineering / Technology,,,,84.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",Computer Science and Engineering,80.58%,73.54%,,81.20%,,79.66%,70.79%,,79.60%,,,,,,,,,,,,,,,,,,,,,,,
"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",Information Technology,78.69%,72.23%,,78.42%,,,64.16%,,78.51%,,,,,,,,,,,,,,,,,,,,,,,
"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",Electronics and Telecommunication Engg,77.18%,,,77.58%,,,,,75.00%,,70.47%,,,,,,,,,,,,,,,,,,,,,
"1121 Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology, Amravati (Un-Aided)",Mechanical Engineering,70.95%,,,70.72%,,64.87%,,,69.54%,,,,,,,,,,,,,,,,,,,,,,,
"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",Civil Engineering,73.26%,67.74%,,68.37%,,67.11%,,,70.21%,,,67.11%,,,,,,,,,,,,,,,,,,,,
"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",Computer Science and Engineering,78.69%,,,79.43%,,79.26%,63.26%,,78.53%,77.89%,74.97%,,,,,,,,,,,,,,,,,,,,,
"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",Electronics and Telecommunication Engg,69.59%,,,71.42%,,68.83%,,,68.17%,,67.65%,67.21%,,,,,,68.71%,,,,,,,,,,,,,,
"1123 Dr.Rajendra Gode Institute of Technology & Research, Amravati (Un-Aided)",Mechanical Engineering,67.58%,66.72%,,56.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",Civil Engineering,75.00%,55.47%,,64.26%,,,69.58%,62.32%,62.82%,,,69.42%,64.00%,,,,,,,,,60.63%,62.16%,,,,,,,,,
"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",Computer Science and Engineering,80.28%,,,71.26%,,70.06%,,,,,71.03%,,,,,,,,,,,,,,,,,,,,,
"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",Electrical Engineering,75.88%,,,79.50%,,,72.83%,,75.11%,71.39%,67.50%,,,,,,,,,,,,,,,,,,,,,
"1125 Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of Engineering, Buldhana (Un-Aided)",Mechanical Engineering,74.67%,68.56%,,75.28%,,69.49%,68.62%,68.05%,70.36%,,66.46%,,,,,68.41%,,70.05%,,,,,,,,,,,,,,
"1126 Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",Civil Engineering,69.21%,64.47%,,58.55%,,63.47%,58.84%,,64.84%,,63.58%,58.42%,,,,,,,,,,,,,,,,,,,,
"1126 Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",Computer Science and Engineering,75.14%,71.44%,,73.09%,,71.03%,,,72.91%,,72.12%,,69.41%,,,64.06%,,,,,,,,,,,,,,,,
"1126 Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",Electrical Engineering,71.83%,70.18%,,80.37%,,71.28%,69.22%,70.47%,69.89%,,,71.72%,,,,,,,,,,,,,,,,,,,,
"1126 Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",Electronics and Telecommunication Engg,73.18%,72.53%,,69.47%,,67.53%,66.63%,,66.34%,,,,,,,,,67.94%,,,,,,,,,,,,,,
"1126 Shri. Dadasaheb Gawai Charitable Trusts Dr. Smt. Kamaltai Gawai Institute of Engineering & Technology, Darapur, Amravati (Un-Aided)",Mechanical Engineering,72.05%,69.64%,,61.25%,,68.21%,,,70.46%,,60.00%,,,63.59%,,,,,,,,,,,,,,,,,,
"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",Civil Engineering,75.00%,,,74.21%,,,,,65.22%,,65.42%,,,,,,,,,,,,,,,,,,,,,
"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",Computer Engineering,73.77%,70.06%,,76.34%,,73.20%,74.97%,,72.19%,,,,,,,,,,,,,,,,,,,,,,,
"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",Electrical Engineering,75.00%,68.06%,,75.22%,,,74.06%,66.83%,73.89%,,,,,,,,,,,,,,,,,,,,,,,
"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",Electronics and Telecommunication Engg,72.47%,,,,,68.34%,,,,,67.53%,,,,,,,,,,,,,,,,,,,,,
"1127 Jagadambha Bahuuddeshiya Gramin Vikas Sansthas Jagdambha College of Engineering and Technology, Yavatmal (Un-Aided)",Mechanical Engineering,67.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Civil Engineering,76.16%,71.74%,72.74%,76.00%,66.53%,75.16%,,,75.11%,73.26%,73.47%,75.00%,,70.05%,,,,,,,,,,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Computer Science and Engineering,82.80%,75.09%,80.31%,84.23%,,83.54%,67.69%,,81.88%,,,,79.21%,,,,,,,,,,70.46%,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Information Technology,81.26%,74.97%,,80.13%,,79.37%,64.69%,,80.57%,78.23%,,77.49%,,79.12%,,,,,,,,,,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Electrical Engineering,82.95%,80.17%,,84.74%,62.89%,83.39%,79.78%,,82.89%,,,,,,,,,,,,,,,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Electronics and Telecommunication Engg,78.74%,,,78.58%,,77.65%,66.40%,,77.83%,,71.26%,,,,,,,,,,,,,,,,,,,,,
"1128 Prof Ram Meghe College of Engineering and Management, Badnera (Un-Aided)",Computer Science and Engineering(Data Science),79.09%,,,77.50%,,,,,77.37%,,67.75%,,,,,,,,,,,64.91%,,,,,,,,,,
"1130 Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",Civil Engineering,71.47%,62.89%,,55.47%,,,72.00%,,62.95%,,,,,,,,,,,,,,,,,,,,,,,
"1130 Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",Computer Science and Engineering,69.71%,68.80%,,68.74%,,,,,64.57%,,66.15%,,,,,,,,,,,,,,,,,,,,,
"1130 Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",Electrical Engg[Electronics and Power],73.22%,66.06%,,67.56%,,65.83%,,,67.61%,,,,,,,,,,,,,,,,,,,,,,,
"1130 Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",Electronics and Telecommunication Engg,71.35%,62.41%,,65.35%,,,79.82%,,64.53%,,,,,,,,,,,,,,,,,,,,,,,
"1130 Vision Buldhana Educational & Welfare Societys Pankaj Laddhad Institute of Technology & Management Studies, Yelgaon (Un-Aided)",Mechanical Engineering,71.18%,59.08%,,60.72%,,,72.51%,,68.87%,,,,,,,,,,,,,,,,,,,,,,,
"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",Civil Engineering,54.48%,,,,,,,,,,,,,,,,,,,63.50%,,,,,,,,,,,,
"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",Computer Science and Engineering,68.19%,63.06%,,67.37%,,66.88%,,,60.00%,,,,,,,,,,,,,,,,,,,,,,,
"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",Artificial Intelligence (AI) and Data Science,66.38%,,,62.34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",Electrical Engineering,58.78%,,,62.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1180 Sanmati Engineering College, Sawargaon Barde, Washim (Un-Aided)",Mechanical Engineering,75.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",Civil Engineering,68.95%,65.56%,,62.12%,,,,,60.91%,,,,,,,,,,,,,,,,,,,,,,,
"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",Computer Science and Engineering,77.60%,73.12%,,83.83%,,,77.54%,,76.00%,,,,,,,,68.86%,,,,,,,,,,,,,,,
"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",Electrical Engineering,79.90%,,,78.33%,,,,,75.11%,,70.24%,,,,,,,,,,,,,,,,,,,,,
"1182 Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana (Un-Aided)",Mechanical Engineering,79.03%,76.26%,,71.90%,,66.89%,,,76.41%,,,,,66.05%,,,,,,,,,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Civil Engineering,73.42%,,,80.53%,,76.74%,63.32%,,72.26%,,,,,,,,,,,,,70.95%,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Computer Science and Engineering,81.03%,73.00%,,85.94%,,83.20%,79.71%,,80.63%,80.23%,,,,,,,72.97%,68.86%,,,,,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Information Technology,77.58%,72.34%,,78.16%,,77.77%,71.79%,,77.50%,74.97%,72.91%,,67.81%,76.35%,,,,,,,,,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Electrical Engg[Electronics and Power],77.83%,63.15%,,80.56%,,,,,75.00%,,66.61%,76.17%,,,,,,,,,,,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Electronics and Telecommunication Engg,72.47%,60.24%,,75.05%,,75.00%,,,71.78%,,71.79%,,70.82%,,,,,,,,,,,,,,,,,,,
"1265 Mauli Group of Institutions, College of Engineering and Technology, Shegaon. (Un-Aided)",Mechanical Engineering,69.28%,,,67.79%,,64.51%,72.71%,,66.78%,,,,,,,,,,,,,,,,,,,,,,,
"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",Civil Engineering,70.68%,,,65.16%,,,75.63%,,,,,,,,,,,,,,,,,,,,,,,,,
"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",Computer Science and Engineering,74.00%,72.29%,,87.94%,,,53.94%,,73.09%,,,59.31%,,,,,,,,,,,,,,,,,,,,
"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",Electrical Engg[Electronics and Power],66.61%,,,77.94%,,67.78%,70.33%,,,,,,,,,,,,,,,,,,,,,,,,,
"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",Electronics and Telecommunication Engg,69.12%,,,,,,68.65%,,,,,,,,,,,,,,,,,,,,,,,,,
"1268 Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile (Un-Aided)",Mechanical Engineering,61.00%,,,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",Civil Engineering,52.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",Computer Engineering,74.11%,68.34%,,62.97%,,62.25%,81.71%,,69.75%,,,,,,,,,,,,,,,,,,,,,,,
"1276 Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302 (Un-Aided)",Electrical Engineering,67.67%,65.17%,,72.61%,,63.28%,,,60.59%,,,,,,,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Civil Engineering,92.47%,90.74%,91.79%,95.00%,,,87.53%,81.47%,91.58%,,,,,,,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Computer Science and Engineering,92.94%,91.25%,92.00%,92.47%,,91.94%,90.17%,,,,,,,,,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Information Technology,92.18%,,,92.06%,,90.65%,90.80%,69.16%,91.89%,90.24%,87.94%,,,,,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Electrical Engineering,91.89%,90.18%,91.67%,90.72%,,,86.28%,85.50%,91.50%,,,90.53%,,,78.74%,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Electronics and Telecommunication Engg,91.12%,87.00%,90.29%,90.88%,,90.65%,87.65%,,89.24%,,,,,,,,,,,,,,,,,,,,,,,
"2008 Government College of Engineering, Chhatrapati Sambhajinagar (Government Autonomous)",Mechanical Engineering,89.85%,,,89.08%,,,83.53%,80.21%,88.05%,87.33%,81.94%,,,,,,,,,,,,,,,,,,,,,
"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",Civil Engineering,91.16%,,91.00%,93.00%,,92.58%,86.47%,80.59%,91.16%,,88.11%,,,,,,,,,,,,,,,,,,,,,
"2020 Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded (Government-Aided Autonomous)",Computer Science and Engineering,92.34%,88.25%,,90.59%,71.50%,90.46%,90.11%,,92.15%,89.88%,,,,90.91%,,89.14%,,,,,,89.55%,,,,,,,,,,
